2026-09-02T10:17:06.8136548+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:17:06.9158032+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 12. GC heap: 8 MB. Working set: 285 MB.
2026-09-02T10:17:10.3604940+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 12.
2026-09-02T10:17:10.3635488+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:17:10.3765729+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:17:10.3946785+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 11 callbacks.
2026-09-02T10:17:11.5886396+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 12.
2026-09-02T10:17:11.5896249+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 13.
2026-09-02T10:17:11.5905402+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:17:11.9159034+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 13. GC heap: 11 MB. Working set: 284 MB.
2026-09-02T10:17:13.4929119+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T10:17:16.5077259+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 13.
2026-09-02T10:17:16.5099187+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:17:16.5175074+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:17:16.5186694+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 28. Module reference live: True. WebView destroyed first: True.
2026-09-02T10:17:16.5197394+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 28 calls.
2026-09-02T10:17:16.5201372+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 1 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T10:17:16.9093042+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 13. GC heap: 12 MB. Working set: 284 MB.
2026-09-02T10:17:17.7716519+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 13.
2026-09-02T10:17:17.7726839+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 14.
2026-09-02T10:17:17.7733802+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:17:20.9143903+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [SlowCall] Started 15-second operation. State: in flight.
2026-09-02T10:17:21.9158206+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 14. GC heap: 7 MB. Working set: 280 MB.
2026-09-02T10:17:23.2612128+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 14.
2026-09-02T10:17:23.2625648+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:17:23.2718015+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:17:23.2739197+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall entered. Call state: in flight. WebView destroyed first: True.
2026-09-02T10:17:23.2786567+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Cleanup] SlowCall completed. Call state: in flight.
2026-09-02T10:17:23.2806660+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall returned after 4 ms. Was in flight at disposal: True. Module disposed cleanly: True.
2026-09-02T10:17:24.1151484+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 14.
2026-09-02T10:17:24.1161318+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 15.
2026-09-02T10:17:24.1166394+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:17:25.3477485+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-02T10:17:26.9115014+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 15. GC heap: 10 MB. Working set: 282 MB.
2026-09-02T10:17:27.8673455+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 15.
2026-09-02T10:17:27.8683077+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:17:27.8755967+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:17:27.8771641+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress entered. Ticks so far: 10. WebView destroyed first: True.
2026-09-02T10:17:27.8789807+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Cleanup] TimerStress completed after 10 ticks.
2026-09-02T10:17:27.8799153+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Dispose] TimerStress returned after 1 ms. Timer stopped: True. Module disposed cleanly: True.
2026-09-02T10:17:29.1111611+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 15.
2026-09-02T10:17:29.1129689+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 16.
2026-09-02T10:17:29.1140321+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:17:31.9090494+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 16. GC heap: 7 MB. Working set: 285 MB.
2026-09-02T10:17:33.9071142+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 16.
2026-09-02T10:17:33.9091962+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:17:33.9184656+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:17:33.9214077+05:30 | Information | HybridTearDown.Components.Pages.CallbackStress | [Cleanup] CallbackStress completed after 17 callbacks.
2026-09-02T10:17:35.3824132+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 16.
2026-09-02T10:17:35.3841125+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 17.
2026-09-02T10:17:35.3851769+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-02T10:17:36.9131526+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 17. GC heap: 11 MB. Working set: 287 MB.
2026-09-02T10:17:36.9512326+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T10:17:39.7661003+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 26. Module reference live: True. WebView destroyed first: False.
2026-09-02T10:17:39.7956972+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 26 calls.
2026-09-02T10:17:39.7968772+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 29 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T10:17:40.5663856+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall entered. Call state: not started. WebView destroyed first: False.
2026-09-02T10:17:40.5671770+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Cleanup] SlowCall completed. Call state: not started.
2026-09-02T10:17:40.5678694+05:30 | Information | HybridTearDown.Components.Pages.SlowCall | [Dispose] SlowCall returned after 0 ms. Was in flight at disposal: False. Module disposed cleanly: False.
2026-09-02T10:17:40.5922579+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-02T10:17:41.7800451+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 17.
2026-09-02T10:17:41.7811535+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-02T10:17:41.7861507+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-02T10:17:41.7872759+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 11. Module reference live: True. WebView destroyed first: True.
2026-09-02T10:17:41.7880310+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 11 calls.
2026-09-02T10:17:41.7887778+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 0 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-02T10:17:41.9182326+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 17. GC heap: 12 MB. Working set: 284 MB.
