2026-09-07T09:38:35.0212133+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:38:36.1518431+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Module] ModuleLoop acquired JS module reference.
2026-09-07T09:38:38.8330153+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 11. GC heap: 7 MB. Working set: 280 MB.
2026-09-07T09:38:39.5314425+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 11.
2026-09-07T09:38:39.5332291+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with native page.
2026-09-07T09:38:39.5476310+05:30 | Information | Diagnostics | [WebView] BlazorWebView handler disconnected. WebView destroyed.
2026-09-07T09:38:39.5497518+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop entered. Calls so far: 31. Module reference live: True. WebView destroyed first: True.
2026-09-07T09:38:39.5534243+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Cleanup] ModuleLoop completed after 31 calls.
2026-09-07T09:38:39.5545857+05:30 | Information | HybridTearDown.Components.Pages.ModuleLoop | [Dispose] ModuleLoop returned after 3 ms. Loop stopped: True. Module disposed cleanly: True.
2026-09-07T09:38:40.5882075+05:30 | Information | Diagnostics | [WebView] BlazorWebView host created. Cycle 12.
2026-09-07T09:38:40.5896614+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with Blazor page. Cycle 12.
2026-09-07T09:38:40.5911571+05:30 | Information | NativeNavigation | [NativeNavigation] Replacing window content with Blazor page.
2026-09-07T09:38:42.6323101+05:30 | Information | HybridTearDown.Components.Pages.TimerStress | [Module] TimerStress acquired JS module reference.
2026-09-07T09:38:43.8267788+05:30 | Information | Diagnostics | [Memory] Sample (periodic). Cycle 12. GC heap: 10 MB. Working set: 282 MB.
2026-09-07T09:38:48.5937951+05:30 | Information | Diagnostics | [NativeNavigation] Replacing window content with native page. Cycle 12.
